name,mz,rt,W03.01,W30.01,W30.02
M72T669,72.04338458,669.086,37761.82789,21443.9152,38942.25853
M72T1061,72.04435162,1060.77,975.598,1569.576,1835.670776
M72T1182,72.04372668,1181.5,3198.384,2508.83,2248.538037
M72T1086_2,72.07870815,1085.65,419.6107178,375.9593302,276.6559082
M72T545,72.08115176,545.19,41418.7524,8710.389397,27373.79538
M72T1341,72.08002494,1341.49,209.4142857,199.0266667,208.8708984
M72T1044,72.08027422,1044.15,287.154,381.1118571,428.8619385
M72T1130,72.08032392,1129.55,282.9933333,213.9,290.25
M72T1289,72.07999093,1288.53,224.4672363,193.344,160.6933333
M73T1225,73.06468055,1224.975,305.824,523.3062744,387.0305664
M73T1328,73.06352609,1327.94,881.0748291,1651.353,979.7747359
M73T1182,73.06485893,1182.11,302.48,664.895,568.4168876
M73T1360,73.06488827,1360.41,372.9066667,2079.085693,782.6257324
M73T1276,73.06485174,1276.13,440.2183838,1040.186475,445.5866667
M73T1062,73.06478991,1062.355,281.2585714,742.4616699,530.1420898
M73T1090,73.06483705,1089.69,298.896,463.8262207,349.9246094
M73T395,73.07568954,395.452,855.782,1291.087024,959.6579895
M74T675,74.02336684,675.477,18312.95555,626.2716835,16878.18083
M74T1294,74.05849816,1293.5,44482.98063,83332.42094,81088.38467
M74T1334,74.05976172,1334.12,30667.56875,49622.04665,69153.13263
M74T1367,74.05845144,1367.49,84205.45333,23721.43714,30829.38721
M74T1123,74.09601915,1122.71,666.9666667,1453.9,2161.746765
M74T1189,74.09607584,1188.57,411.3,361.548,4427.603585
M74T1284,74.09614476,1284.36,383.768,385.2,10157.09424
M74T1364,74.09476626,1363.97,11106.37764,237.456,445.676
M74T1231,74.09601541,1230.89,3919.019165,212.772,3581.382629
M74T1054,74.09595318,1054.18,475.728,637.372,3484.780273
M74T1090,74.0947475,1089.99,794.5785714,3517.600423,2121.339722
M74T1328,74.0961902,1328.11,682.3425,21681.56307,10748.79058
M75T675,75.0261684,675.3535,18017.13971,579.0615684,8147.06148
M75T1267,75.05543721,1267.395,922.76,534.5533333,864.4696655
M75T1233,75.06131116,1232.53,158.3970337,196.08,140.605
M75T1357,75.05547793,1357.29,734.4065552,837.9,952.0766602
M76T664,76.03928568,663.577,1913.333778,320.5969604,3399.891
M76T1363,76.03792029,1363.07,243.2325,172.0069754,453.497733
M76T1289,76.03820095,1288.81,237.4725037,112.0443115,208.9737549
M76T191,76.03793816,191.317,229.6203003,226.41996,455.997963
M77T1260,77.03831491,1259.57,555.9826355,455.8183333,405.144
M77T1288,77.03838555,1288.09,663.985,393.624,882.0316667
M77T1101,77.03730124,1101.095,477.052714,220.014,390.4133333
M77T1188,77.03824225,1188.26,656.3391876,639.6426392,404.7
M77T1367,77.03713187,1367.1,1074.010107,589.661499,1302.65625
M77T1130,77.03842943,1130.275,415.6457143,354.2214355,301.4807129
M77T1047,77.03771534,1046.905,526.1268717,341.784,348.7151367
M77T178,77.03843462,177.777,1674.112,2856.919296,4031.585484
M78T390,78.03381206,389.637,1673.67125,1977.366325,3114.125
M78T1213,78.04433517,1213.08,163.5,439.2059733,186.2571429
M78T1178,78.04632805,1178.37,176.595,247.8642857,179.4702148
M78T1254,78.04500784,1253.84,133.2,212.5917969,157.5119629
M78T1082,78.04634747,1081.78,158.808,197.16,145.5216064
M78T1350,78.04588517,1350.465,265.0628571,212.5880859,222.6550293
M79T1098,78.9829775,1097.69,1772.244666,1797.192662,2016.225098
M79T1050,78.98274233,1049.61,1533.613987,568.8,1821.549479
M79T1117,78.98266249,1116.56,1672.539063,546.22,696.54
M79T1136,78.98466338,1135.7,734.39,828.0745675,1373.295
M79T95,79.02020022,94.79,12589.88177,3681.134842,4674.343636
M79T1183,79.05402471,1182.81,846.4090983,685.0033333,810.5944824
M79T1326,79.05338267,1325.605,736.5771484,731.315918,768.8484375
M79T1088,79.05339543,1087.7,1086.219238,476.168,1103.388726
M79T1373,79.0534148,1373.29,498.256,725.2654785,932.1099854
M79T1248,79.05410792,1247.95,497.4,757.8405762,866.4422607
M80T1217,80.04924811,1216.79,634.8,818.9003499,1047.41
M81T805,80.97338154,804.549,23667.25852,19208.62798,18939.55338
M81T1229,80.97313469,1228.83,199.018,156.366,208.2
M81T1362,80.97302755,1362.325,2710.954651,1752.206641,299.684
M81T1085,80.97316411,1085.1,1383.985107,152.88,169.7325
M81T1266,80.97311021,1266.14,4145.358189,3741.055995,364.6266667
M81T1366,80.98952045,1365.84,126.896,2160.315186,3692.541016
M81T102,81.04405552,101.777,1092173.221,415412.9272,344648.4668
M81T1095,81.04342718,1094.6,791.1867065,467.2650146,564.8
M81T1132,81.04367483,1132.27,605.01,459.1466064,697.8289551
M81T996,81.04382453,996.079,1123.864,544.213501,767.5195
M81T1048,81.0445166,1047.905,776.62,487.6094055,1013.395703
M81T1363,81.0692436,1362.62,466.3133894,617.7503052,348.9866667
M81T53,81.06986325,52.988,40303.59804,47476.73878,25311.33177
M81T1325,81.0692851,1325.1,256.564,421.504541,301.5252686
M81T1220,81.06917513,1220.01,314.7,560.3114827,346.665
